Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Gd,heavy metals,liver,NA,9,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0016,NA,0.0008,0.0009,0.0029,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Dy,heavy metals,liver,NA,3,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0009,NA,0.0001,0.0009,0.001,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Tl,heavy metals,liver,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.009,NA,0.003,0.006,0.016,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Bi,heavy metals,liver,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0039,NA,0.0027,0.0009,0.0085,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Th,heavy metals,liver,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,NA,0.001,0.001,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,U,heavy metals,liver,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.002,NA,NA,0.001,0.002,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,K,metal,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,8800,NA,2500,7000,15000,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,S,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,14000,NA,1600,12000,17000,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,P,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,9500,NA,2000,5300,13000,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Na,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,5000,NA,1000,3500,7400,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Mg,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,750,NA,180,450,1100,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ca,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,880,NA,940,300,3600,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Fe,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1200,NA,840,210,2900,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Zn,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,140,NA,85,59,360,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Rb,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,15,NA,5,6.7,26,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cu,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,14,NA,9,6.6,40,?g/g ,dry,no,none,none,
