Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,184,0.005,NA,95,311,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,91.6,0.005,NA,70.4,145,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,250,0.005,NA,90,523,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,163,0.005,NA,114,219,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,200,0.005,NA,123,314,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,295,0.005,NA,207,494,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,263,0.005,NA,90,678,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 47,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,32.1,0.005,NA,16.1,59.4,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,2.99,0.005,NA,1.55,6,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.41,0.005,NA,ND,1.14,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.46,0.005,NA,ND,1.55,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.59,0.005,NA,0.3,0.97,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.32,0.005,NA,ND,0.54,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.38,0.005,NA,ND,2.04,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.78,0.005,NA,0.45,1.89,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.73,0.005,NA,0.33,1.03,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,4.46,0.005,NA,1.86,10.7,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,1.83,0.005,NA,ND,3.99,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 49,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,3,0.375,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,2.19,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,6.48,0.005,NA,2.73,19.5,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.33,0.005,NA,ND,1.14,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.7,0.005,NA,ND,9.19,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.55,0.005,NA,0.35,0.79,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.51,0.005,NA,ND,2.05,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.33,0.005,NA,ND,2.57,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.48,0.005,NA,0.32,0.99,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.65,0.005,NA,0.35,0.95,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,2.82,0.005,NA,ND,29.8,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,2.82,0.005,NA,0.32,22.4,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 66,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.38,0.005,NA,ND,1.23,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Boise River,11,1,0.090909091,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.48,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,2,0.2,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.55,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,ND,0.005,NA,NA,NA,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),Spokane River (RM 68-96),8,1,0.125,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.63,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 85,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,1,0.125,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.4,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,270,0.005,NA,119,728,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,20.2,0.005,NA,14.2,30.8,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,23,0.005,NA,11.2,49,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,17.1,0.005,NA,9.45,30.8,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,11.5,0.005,NA,2.78,31,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,31.6,0.005,NA,5.29,201,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,18.2,0.005,NA,8.91,25,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,44.8,0.005,NA,14.8,78,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,131,0.005,NA,51,396,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,88.3,0.005,NA,17.7,210,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 99,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,9.5,0.005,NA,1.14,31,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,126,0.005,NA,68.4,298,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,93.6,0.005,NA,61.9,179,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,77.5,0.005,NA,37.7,211,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,66.7,0.005,NA,28.8,120,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,36.8,0.005,NA,18,67.2,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,61.4,0.005,NA,16.4,163,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,51.3,0.005,NA,33.4,71,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,67.4,0.005,NA,21.4,120,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,131,0.005,NA,72,294,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,73.8,0.005,NA,19.3,331,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 100,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,7.03,0.005,NA,3.2,16.3,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.4,0.005,NA,ND,1.23,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,1,0.166666667,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.27,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,2,0.2,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.63,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,1,0.2,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.18,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,1,0.2,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.52,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,3,0.130434783,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,1.3,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),"Multnomah Channel, OR",5,1,0.2,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,0.33,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),"Portland Harbor, OR",5,2,0.4,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,1.46,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,0.43,0.005,NA,ND,1.64,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),Spokane River (RM 68-96),8,1,0.125,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,2.26,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 138,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,3,0.375,egg(s),unknown/mixed,geometric mean,NC,0.005,NA,ND,1.03,ng/g,wet,yes,Productivity,Nesting Success,NC = not calculated (<50% above detection limit)
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,49.3,0.005,NA,19.7,176,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,26,0.005,NA,15.7,39.6,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,20.6,0.005,NA,1.95,97.4,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,13.6,0.005,NA,4.23,25.7,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,10.7,0.005,NA,3.32,18.9,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Upper Willamette River (RM 69-178),23,NA,>0.5,egg(s),unknown/mixed,geometric mean,19.4,0.005,NA,3.37,75.5,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),"Multnomah Channel, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,9.45,0.005,NA,6.95,11.7,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),"Portland Harbor, OR",5,NA,>0.5,egg(s),unknown/mixed,geometric mean,21.1,0.005,NA,4.11,58.3,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Spokane River (RM 47-67),7,NA,>0.5,egg(s),unknown/mixed,geometric mean,67.2,0.005,NA,22,228,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),Spokane River (RM 68-96),8,NA,>0.5,egg(s),unknown/mixed,geometric mean,35.6,0.005,NA,8.91,78.5,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 153,flame retardants,egg(s),"Reference Lakes, Spokane, WA",8,NA,>0.5,egg(s),unknown/mixed,geometric mean,3.47,0.005,NA,0.68,14.5,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Boise River,11,NA,>0.5,egg(s),unknown/mixed,geometric mean,38.5,0.005,NA,16.2,102,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Lower Columbia River (RM 29-84),6,NA,>0.5,egg(s),unknown/mixed,geometric mean,26.4,0.005,NA,16.5,52.8,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Lower Columbia River (RM 29-84),10,NA,>0.5,egg(s),unknown/mixed,geometric mean,24.8,0.005,NA,9.82,82.3,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2008,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Lower Columbia River (RM 85-122),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,18.5,0.005,NA,5.93,31.6,ng/g,wet,yes,Productivity,Nesting Success,
Henny et al. 2011,166,Wastewater dilution index part,2009,United States of America,Osprey,Pandion haliaetus,wild,BDE 154/BB 153,flame retardants,egg(s),Lower Columbia River (RM 124-143),5,NA,>0.5,egg(s),unknown/mixed,geometric mean,10.9,0.005,NA,4.22,18.8,ng/g,wet,yes,Productivity,Nesting Success,
