"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"1520",1520,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Northern Harrier","Circus cyaneus","wild","Heptachlor Epoxide","organochlorine insecticides","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,51,29,"N. America"
"1521",1521,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Northern Harrier","Circus cyaneus","wild","Heptachlor Epoxide","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,51,29,"N. America"
"1522",1522,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Northern Harrier","Circus cyaneus","wild","Total PCBs","PCBs","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,51,29,"N. America"
"1523",1523,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Northern Harrier","Circus cyaneus","wild","Total PCBs","PCBs","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,51,29,"N. America"
"1524",1524,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Northern Harrier","Circus cyaneus","wild","Total PCBs","PCBs","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,51,29,"N. America"
"1525",1525,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Northern Harrier","Circus cyaneus","wild","Total PCBs","PCBs","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,51,29,"N. America"
"1526",1526,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","DDE","organochlorine insecticides","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1527",1527,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","DDE","organochlorine insecticides","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1528",1528,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","DDE","organochlorine insecticides","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1529",1529,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","DDE","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1530",1530,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Dieldrin","organochlorine insecticides","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1531",1531,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Dieldrin","organochlorine insecticides","liver",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.04,2,29,"N. America"
"1532",1532,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Dieldrin","organochlorine insecticides","breast",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.03,2,29,"N. America"
"1533",1533,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Dieldrin","organochlorine insecticides","heart",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.04,2,29,"N. America"
"1534",1534,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Heptachlor Epoxide","organochlorine insecticides","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1535",1535,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Heptachlor Epoxide","organochlorine insecticides","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1536",1536,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Heptachlor Epoxide","organochlorine insecticides","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1537",1537,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Heptachlor Epoxide","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1538",1538,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Total PCBs","PCBs","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1539",1539,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Total PCBs","PCBs","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1540",1540,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Total PCBs","PCBs","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1541",1541,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","American Kestrel","Falco sparverius","wild","Total PCBs","PCBs","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,2,29,"N. America"
"1542",1542,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDE","organochlorine insecticides","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1543",1543,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDE","organochlorine insecticides","liver",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.15,24,29,"N. America"
"1544",1544,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDE","organochlorine insecticides","breast",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.47,24,29,"N. America"
"1545",1545,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDE","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1546",1546,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Dieldrin","organochlorine insecticides","brain",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.01,24,29,"N. America"
"1547",1547,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Dieldrin","organochlorine insecticides","liver",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.01,24,29,"N. America"
"1548",1548,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Dieldrin","organochlorine insecticides","breast",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.04,24,29,"N. America"
"1549",1549,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Dieldrin","organochlorine insecticides","heart",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.003,24,29,"N. America"
"1550",1550,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Heptachlor Epoxide","organochlorine insecticides","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1551",1551,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Heptachlor Epoxide","organochlorine insecticides","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1552",1552,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Heptachlor Epoxide","organochlorine insecticides","breast",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",0.002,24,29,"N. America"
"1553",1553,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Heptachlor Epoxide","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1554",1554,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Total PCBs","PCBs","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1555",1555,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Total PCBs","PCBs","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1556",1556,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Total PCBs","PCBs","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1557",1557,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Cooper's Hawk","Accipiter cooperii","wild","Total PCBs","PCBs","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,24,29,"N. America"
"1558",1558,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDE","organochlorine insecticides","brain",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",12.31,64,29,"N. America"
"1559",1559,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDE","organochlorine insecticides","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1560",1560,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDE","organochlorine insecticides","breast",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",4.73,64,29,"N. America"
"1561",1561,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDE","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1562",1562,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Dieldrin","organochlorine insecticides","brain",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",4.01,64,29,"N. America"
"1563",1563,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Dieldrin","organochlorine insecticides","liver",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",3.71,64,29,"N. America"
"1564",1564,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Dieldrin","organochlorine insecticides","breast",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",1.82,64,29,"N. America"
"1565",1565,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Dieldrin","organochlorine insecticides","heart",NA,1,NA,1,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",2.88,64,29,"N. America"
"1566",1566,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Heptachlor Epoxide","organochlorine insecticides","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1567",1567,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Heptachlor Epoxide","organochlorine insecticides","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1568",1568,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Heptachlor Epoxide","organochlorine insecticides","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1569",1569,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Heptachlor Epoxide","organochlorine insecticides","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1570",1570,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Total PCBs","PCBs","brain",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1571",1571,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Total PCBs","PCBs","liver",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1572",1572,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Total PCBs","PCBs","breast",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1573",1573,165,"Organochlorine and PCB residues in tissues of raptors from Illinois, 1966-1981","1966","1981","United States of America","Sharp-shinned hawk","Accipiter striatus","wild","Total PCBs","PCBs","heart",NA,1,NA,0,"unknown/mixed","unknown/mixed","arithmetic mean","5.00E-03",NA,NA,NA,"ppm","wet","no","none","none",NA,64,29,"N. America"
"1574",1574,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 17","flame retardants","egg(s)","Boise River",11,NA,NA,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"1.35","7.05","ng/g","wet","yes","Productivity","Nesting Success",3.19,53,29,"N. America"
"1575",1575,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 17","flame retardants","egg(s)","Lower Columbia River (RM 124-143)",5,2,0.4,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","1.24","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1576",1576,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 17","flame retardants","egg(s)","Reference Lakes, Spokane, WA",8,1,0.125,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.32","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1577",1577,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 28","flame retardants","egg(s)","Reference Lakes, Spokane, WA",8,1,0.125,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.35","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1578",1578,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 49","flame retardants","egg(s)","Reference Lakes, Spokane, WA",8,3,0.375,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","2.19","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1579",1579,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 85","flame retardants","egg(s)","Boise River",11,1,0.0909,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.48","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1580",1580,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 85","flame retardants","egg(s)","Lower Columbia River (RM 29-84)",10,2,0.2,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.55","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1581",1581,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 85","flame retardants","egg(s)","Spokane River (RM 68-96)",8,1,0.125,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.63","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1582",1582,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 85","flame retardants","egg(s)","Reference Lakes, Spokane, WA",8,1,0.125,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.4","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1583",1583,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Lower Columbia River (RM 29-84)",6,1,0.166666667,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.27","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1584",1584,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Lower Columbia River (RM 29-84)",10,2,0.2,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.63","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1585",1585,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Lower Columbia River (RM 85-122)",5,1,0.2,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.18","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1586",1586,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Lower Columbia River (RM 124-143)",5,1,0.2,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.52","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1587",1587,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Upper Willamette River (RM 69-178)",23,3,0.130434783,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","1.3","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1588",1588,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Multnomah Channel, OR",5,1,0.2,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.33","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1589",1589,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Portland Harbor, OR",5,2,0.4,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","1.46","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1590",1590,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Spokane River (RM 68-96)",8,1,0.125,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","2.26","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1591",1591,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 138","flame retardants","egg(s)","Reference Lakes, Spokane, WA",8,3,0.375,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","1.03","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1592",1592,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 183","flame retardants","egg(s)","Lower Columbia River (RM 29-84)",6,2,0.333333333,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.17","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1593",1593,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2008",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 183","flame retardants","egg(s)","Upper Willamette River (RM 69-178)",23,9,0.391304348,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.38","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
