IOCOrder,BLFamilyLatin,BLFamilyEnglish,sci_name,common_name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
Strigiformes,Strigidae,Owls,Otus manadensis,Sulawesi Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,88.3,PrimScale,1,,
Strigiformes,Strigidae,Owls,Otus longicornis,Luzon Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,60,40,0,0,0,0,Ref_5,1,Christian,1,82.87,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus mindorensis,Mindoro Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,60,40,0,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus mirus,Mindanao Scops-owl,90,10,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,D1,Hamish,0,0,60,40,0,0,0,0,Ref_5,1,Christian,1,61.32,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus hartlaubi,Sao Tome Scops-owl,90,0,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,10,40,40,10,0,0,Ref_5,1,Christian,1,79,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus brucei,Pallid Scops-owl,70,20,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,50,20,10,10,10,0,Ref_5,1,Other,1,84.35,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus flammeolus,Flammulated Owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,59.9,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus scops,Common Scops-owl,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,1,92,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus sunia,Oriental Scops-owl,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,30,20,20,30,0,0,Ref_5,1,Christian,1,78.09,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus senegalensis,African Scops-owl,90,0,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,1,67,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus elegans,Elegant Scops-owl,80,20,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,1,124,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus mantananensis,Mantanani Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,106,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus magicus,Moluccan Scops-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,165,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus beccarii,Biak Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,165,PrimScale,1,,
Strigiformes,Strigidae,Owls,Otus alfredi,Flores Scops-owl,90,10,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,D1,Hamish,0,0,10,30,60,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus enganensis,Enggano Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,104.88,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus insularis,Seychelles Scops-owl,50,0,50,0,0,0,0,0,0,0,Omnivore,Ref_5,B,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus rutilus,Malagasy Scops-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,10,40,40,10,0,0,Ref_5,1,Christian,1,101,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus pembaensis,Pemba Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,60,20,10,10,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus capnodes,Anjouan Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,60,20,10,10,0,0,Ref_5,1,Christian,1,119,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus pauliani,Grand Comoro Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,60,20,10,10,0,0,Ref_5,1,Christian,1,69.49,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus brookii,Rajah Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus bakkamoena,Collared Scops-owl,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,146.3,PrimScale,1,,
Strigiformes,Strigidae,Owls,Otus lettia,Collared Scops Owl,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,142.33,PrimScale,1,,
Strigiformes,Strigidae,Owls,Otus lempiji,Sunda Scops Owl,90,10,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,60,40,0,0,0,0,Ref_5,1,Christian,1,142.33,PrimScale,1,,
Strigiformes,Strigidae,Owls,Otus semitorques,Japanese Scops Owl,70,20,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,121.53,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus mentawi,Mentawai Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,20,40,40,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus fuliginosus,Palawan Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus megalotis,Philippine Scops-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,178.4,Dunning08,1,,
Strigiformes,Strigidae,Owls,Otus silvicola,Wallace's Scops-owl,90,10,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,D1,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,123.28,GenAvg,0,,
Strigiformes,Strigidae,Owls,Otus leucotis,White-faced Scops-owl,10,90,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,0,10,0,0,0,Ref_5,1,Christian,1,204,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops kennicottii,Western Screech-owl,50,40,10,0,0,0,0,0,0,0,Omnivore,Ref_5,A,Hamish,0,0,40,50,10,0,0,0,Ref_5,1,Christian,1,141.82,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops seductus,Balsas Screech-owl,50,0,0,0,50,0,0,0,0,0,Omnivore,Ref_5,C,Hamish,0,0,40,50,10,0,0,0,Ref_5,1,Christian,1,160,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops cooperi,Pacific Screech-owl,80,20,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,60,30,10,0,0,0,Ref_5,1,Christian,1,149.94,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops asio,Eastern Screech-owl,50,0,0,0,50,0,0,0,0,0,Omnivore,Ref_5,A,Hamish,0,10,70,10,10,0,0,0,Ref_5,1,Other,1,179.99,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops trichopsis,Whiskered Screech-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,10,20,50,10,10,0,Ref_5,1,Other,1,88.26,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops choliba,Tropical Screech-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,50,0,0,10,0,Ref_5,1,Christian,1,132,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops koepckeae,Koepcke's Screech-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,40,50,0,0,10,0,Ref_5,1,Christian,1,116.93,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops roboratus,West Peruvian Screech-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,50,0,0,10,0,Ref_5,1,Christian,1,126.7,Dunning08,1,,
