ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Pr,heavy metals,liver,NA,9,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0026,NA,0.0017,0.0009,0.0046,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Nd,heavy metals,liver,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.009,NA,0.007,0.002,0.19,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Sm,heavy metals,liver,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0016,NA,0.0008,0.0009,0.0029,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Eu,heavy metals,liver,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,NA,0.001,0.001,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Gd,heavy metals,liver,NA,9,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0016,NA,0.0008,0.0009,0.0029,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Dy,heavy metals,liver,NA,3,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0009,NA,0.0001,0.0009,0.001,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Tl,heavy metals,liver,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.009,NA,0.003,0.006,0.016,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Bi,heavy metals,liver,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0039,NA,0.0027,0.0009,0.0085,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Th,heavy metals,liver,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,NA,0.001,0.001,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,U,heavy metals,liver,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.002,NA,NA,0.001,0.002,?g/g ,dry,no,none,none,,,
