"","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"18",90,"The role of DDE, PCB, coplanar","1977","1979","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,"190","380","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",250,87,24,"Europe"
"19",90,"The role of DDE, PCB, coplanar","1980","1984","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",57,87,24,"Europe"
"20",90,"The role of DDE, PCB, coplanar","1980","1984","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",200,87,24,"Europe"
"21",90,"The role of DDE, PCB, coplanar","1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",33,87,24,"Europe"
"22",90,"The role of DDE, PCB, coplanar","1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",5,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",130,87,24,"Europe"
"23",90,"The role of DDE, PCB, coplanar","1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",20,87,24,"Europe"
"24",90,"The role of DDE, PCB, coplanar","1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",76,87,24,"Europe"
"25",90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",14,87,24,"Europe"
"26",90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",51,87,24,"Europe"
"27",90,"The role of DDE, PCB, coplanar","1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,"43","190","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",110,87,24,"Europe"
