"","ID","Title","study period","country","Species (English name)","Species (scientific name)","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes","...29","...30"
"11",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDT","organochlorine insecticides","egg(s)","1981, Site K:C",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.53","0.10 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"12",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","PCB","PCB","egg(s)","1981, Site K:C",1,"NA","NA","egg(s)","unknown/mixed","n=1","2.23","0.50 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"13",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Heptachlor epoxide","organochlorine insecticides","egg(s)","1981, Site K:C",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.28999999999999998","0.10 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"14",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","egg(s)","1981, Site K:C",1,"NA","NA","egg(s)","unknown/mixed","n=1","ND","0.10 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"15",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","egg(s)","1981, Site K:C",1,"NA","NA","egg(s)","unknown/mixed","n=1","ND","0.10 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"16",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Endrin","organochlorine insecticides","egg(s)","1981, Site K:C",1,"NA","NA","egg(s)","unknown/mixed","n=1","ND","0.10 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"17",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDE","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","14","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"18",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDT","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","7.0000000000000007E-2","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"19",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","b-HCH","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.83","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"20",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","PCB","PCB","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","1.1000000000000001","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"21",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Heptachlor epoxide","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.27","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"22",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.09","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"23",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.12","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"24",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Hexachlorobenzene","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.68","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"25",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Endrin","organochlorine insecticides","egg(s)","1982, Site E:C, egg 1",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.03","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
