C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,aldrin,blood,,256,NA,0.047,nestling,unknown/mixed,arithmetic mean,0.13,NA,0.88,not detected,8.2,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,Dieldrin,blood,,256,NA,0.074,nestling,unknown/mixed,arithmetic mean,3.25,NA,22.12,not detected,246.5,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,Endrin,blood,,256,NA,0.0625,nestling,unknown/mixed,arithmetic mean,0.17,NA,1.09,not detected,12.03,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,heptachlor,blood,,256,NA,0.086,nestling,unknown/mixed,arithmetic mean,0.41,NA,2.15,not detected,17.51,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,heptachlor epoxide (trans),blood,,256,NA,0.09,nestling,unknown/mixed,arithmetic mean,0.19,NA,0.97,not detected,8.79,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,endosulfan I,blood,,256,NA,0.1445,nestling,unknown/mixed,arithmetic mean,5.61,NA,30.37,not detected,418.08,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,endosulfan II,blood,,256,NA,0.1367,nestling,unknown/mixed,arithmetic mean,0.67,NA,2.83,not detected,31.51,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,DDT,blood,,256,NA,0.056,nestling,unknown/mixed,arithmetic mean,0.57,NA,5.95,not detected,93.54,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,DDD,blood,,256,NA,0.043,nestling,unknown/mixed,arithmetic mean,0.12,NA,0.73,not detected,9.14,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Gómez-Ramírez et al. 2019,2019,2003-2007,Spain,Bubo bubo,Eurasian Eagle-owl,wild,organochlorine insecticides,DDE,blood,,256,NA,0.1602,nestling,unknown/mixed,arithmetic mean,1.8,NA,8.68,not detected,64.91,?g L-1,NA,no,,,,,,,,,,,,,,,,,,,
Falkenberg et al. 1994,1994,,Australia,Falco peregrinus,Peregrine Falcon,museum specimen,organochlorine insecticides,DDT,eggs,,23,NA,NA,NA,unknown/mixed,arithmetic mean,1.82,NA,NA,NA,NA,mg kg-1,NA,yes,fecundity,,,,,,,,,,,,,,,,,,
Falkenberg et al. 1994,1994,,Australia,Haliaeetus leucocephalus,White-bellied Sea-eagle,museum specimen,organochlorine insecticides,DDT,eggs,,6,NA,NA,NA,unknown/mixed,arithmetic mean,1.07,NA,NA,NA,NA,mg kg-1,NA,yes,fecundity,,,,,,,,,,,,,,,,,,
Falkenberg et al. 1994,1994,,Australia,Pandion haliaetus,Osprey,museum specimen,organochlorine insecticides,DDT,eggs,,10,NA,NA,NA,unknown/mixed,arithmetic mean,0.11,NA,NA,NA,NA,mg kg-1,NA,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1965-1969,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,DDE,eggs,Baltic sea coast,6,NA,NA,NA,unknown/mixed,geometric mean,743,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1965-1969,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,6,NA,NA,NA,unknown/mixed,geometric mean,770,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1970–1974,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,27,NA,NA,NA,unknown/mixed,geometric mean,710,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1970–1974,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,27,NA,NA,NA,unknown/mixed,geometric mean,1100,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1975–1979,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,31,NA,NA,NA,unknown/mixed,geometric mean,560,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1975–1979,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,31,NA,NA,NA,unknown/mixed,geometric mean,1000,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1980–1984,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,18,NA,NA,NA,unknown/mixed,geometric mean,400,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
