C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.3,NA,NA,1.3,1.3,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.3,NA,NA,0.3,3.6,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1,NA,NA,0.1,4.8,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,0.9,NA,NA,0.9,0.9,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,0.5,NA,NA,0.09,2.9,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,0.4,NA,NA,0.08,1.9,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,0.4,NA,NA,0.4,0.4,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.2,NA,NA,1.2,2.8,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.2,NA,NA,1.2,2.9,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,Total hexachlorocyclohexanes,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1,NA,NA,1,1,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Falco tinnunculus,Common kestrel,mixed*,organochlorine insecticides,Total DDTs,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,8.6,NA,NA,0.3,62.8,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Falco tinnunculus,Common kestrel,mixed*,organochlorine insecticides,Total DDTs,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,13.1,NA,NA,0.5,52.6,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Falco tinnunculus,Common kestrel,mixed*,organochlorine insecticides,Total DDTs,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,7.8,NA,NA,7.8,7.8,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter nisus,Eurasian sparrowhawk,mixed*,organochlorine insecticides,Total DDTs,muscle,NA,11,NA,1,unknown/mixed,unknown/mixed,Median,158.7,NA,NA,24.4,1024,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter nisus,Eurasian sparrowhawk,mixed*,organochlorine insecticides,Total DDTs,liver,NA,11,NA,1,unknown/mixed,unknown/mixed,Median,151,NA,NA,22.8,1000,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter nisus,Eurasian sparrowhawk,mixed*,organochlorine insecticides,Total DDTs,kidney,NA,11,NA,1,unknown/mixed,unknown/mixed,Median,184.5,NA,NA,184.5,184.5,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter gularis,Japanese sparrowhawk,mixed*,organochlorine insecticides,Total DDTs,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,62.7,NA,NA,3.8,156,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter gularis,Japanese sparrowhawk,mixed*,organochlorine insecticides,Total DDTs,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,52.5,NA,NA,8.1,107,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter gularis,Japanese sparrowhawk,mixed*,organochlorine insecticides,Total DDTs,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,41.7,NA,NA,41.7,41.7,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,Total DDTs,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,23.2,NA,NA,4.4,127,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,Total DDTs,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,30,NA,NA,7.2,85.1,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,Total DDTs,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,25,NA,NA,25,25,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,Total DDTs,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,16.9,NA,NA,0.8,46.7,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,Total DDTs,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,19,NA,NA,1.7,59.7,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,Total DDTs,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,17,NA,NA,17,17,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,Total DDTs,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.1,NA,NA,0.1,69.4,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,Total DDTs,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.8,NA,NA,0.2,46.1,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,Total DDTs,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,4.3,NA,NA,4.3,4.3,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,Total DDTs,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.9,NA,NA,0.1,3.9,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,Total DDTs,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,3.7,NA,NA,0.2,7.4,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,Total DDTs,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,1.9,NA,NA,1.9,1.9,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Falco tinnunculus,Common kestrel,mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,325,NA,NA,51,918,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Falco tinnunculus,Common kestrel,mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,18.3,NA,NA,2,34.5,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Falco tinnunculus,Common kestrel,mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,29.6,NA,NA,29.6,29.6,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter nisus,Eurasian sparrowhawk,mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,11,NA,1,unknown/mixed,unknown/mixed,Median,70.9,NA,NA,14,176,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter nisus,Eurasian sparrowhawk,mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,11,NA,1,unknown/mixed,unknown/mixed,Median,75,NA,NA,24.8,217,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter nisus,Eurasian sparrowhawk,mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,11,NA,1,unknown/mixed,unknown/mixed,Median,61.9,NA,NA,61.9,61.9,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter gularis,Japanese sparrowhawk,mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,68.6,NA,NA,5,214,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter gularis,Japanese sparrowhawk,mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,62,NA,NA,6.3,188,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Accipiter gularis,Japanese sparrowhawk,mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,121.3,NA,NA,121.3,121.3,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,6,NA,NA,unknown/mixed,unknown/mixed,Median,20,NA,NA,NQ,156,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,6,NA,NA,unknown/mixed,unknown/mixed,Median,18.5,NA,NA,NQ,119,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Athene noctua,Little owl,mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,22.3,NA,NA,22.3,22.3,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,6,NA,NA,unknown/mixed,unknown/mixed,Median,24.4,NA,NA,NQ,88,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,6,NA,NA,unknown/mixed,unknown/mixed,Median,11.3,NA,NA,NQ,101,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Otus sunia,Oriental Scops owl,mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,59.9,NA,NA,59.9,59.9,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,6,NA,NA,unknown/mixed,unknown/mixed,Median,6.6,NA,NA,NQ,54,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,6,NA,NA,unknown/mixed,unknown/mixed,Median,4.1,NA,NA,NQ,22,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Asio otus,Long-eared owl,mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,13,NA,NA,13,13,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,heptachlor epoxide,muscle,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,4.1,NA,NA,2,15,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,heptachlor epoxide,liver,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,6.5,NA,NA,3.3,21,mg/kg,lipid weight,no,NA,NA,"*Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Chen et al. 2009,2009,2004-2006,China,Buteo buteo,Buzzard (common and upland),mixed*,organochlorine insecticides,heptachlor epoxide,kidney,NA,6,NA,1,unknown/mixed,unknown/mixed,Median,5.7,NA,NA,5.7,5.7,mg/kg,lipid weight,no,NA,NA,"Kidney samples were pooled by species, so there is just one measurement *Birds ""were opportunistically obtained and were received dead, died during attempted rehabilitation or were euthanized at the BRRC due to untreatable injuries"" BRRC = Beijing Raptor Rescue Center",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,heavy metals,Cu,eggs,Atlantic-New Jersey,41,NA,1,eggs,unknown/mixed,geometric mean,0.35,NA,NA,0.16,0.61,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,heavy metals,Cu,eggs,Costal - Virginia,17,NA,1,eggs,unknown/mixed,geometric mean,0.34,NA,NA,0.22,0.6,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,heavy metals,Cu,eggs,Delaware River,12,NA,1,eggs,unknown/mixed,geometric mean,0.45,NA,NA,0.35,0.79,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
